Metabolite_set,Metabolite
FA01 Fatty Acids and Conjugates,Azelaic acid
FA01 Fatty Acids and Conjugates,Traumatic acid
FA01 Fatty Acids and Conjugates,Palmitic acid
FA01 Fatty Acids and Conjugates,Docosahexaenoic acid
FA01 Fatty Acids and Conjugates,Stearic acid
FA01 Fatty Acids and Conjugates,Palmitoleic acid
FA01 Fatty Acids and Conjugates,5-Hydroxypentanoic acid
FA01 Fatty Acids and Conjugates,gamma-Aminobutyric acid
FA01 Fatty Acids and Conjugates,Myristic acid
FA01 Fatty Acids and Conjugates,4-Hydroxybutyric acid
FA01 Fatty Acids and Conjugates,Eicosenoic acid
FA01 Fatty Acids and Conjugates,Dodecanoic acid
FA01 Fatty Acids and Conjugates,Acetoacetic acid
FA01 Fatty Acids and Conjugates,Pyruvic acid
FA01 Fatty Acids and Conjugates,3-Oxododecanoic acid
FA01 Fatty Acids and Conjugates,Itaconic acid
FA01 Fatty Acids and Conjugates,8-Amino-7-oxononanoate
